1734
-0.255739 1.746495 4.189094  -0.195110 1.751300 4.425595  -0.446173 1.809062 4.194954
-0.446173 1.809062 4.194954  -0.195110 1.751300 4.425595  -0.385202 1.799484 4.427863
-0.195110 1.751300 4.425595  -0.236888 1.798429 4.707505  -0.385202 1.799484 4.427863
-0.385202 1.799484 4.427863  -0.236888 1.798429 4.707505  -0.389828 1.931612 4.630887
-0.236888 1.798429 4.707505  -0.273953 1.953442 4.774324  -0.389828 1.931612 4.630887
-0.389828 1.931612 4.630887  -0.273953 1.953442 4.774324  -0.316069 2.109092 4.778430
-0.273953 1.953442 4.774324  -0.257704 1.993097 4.864984  -0.316069 2.109092 4.778430
-0.316069 2.109092 4.778430  -0.257704 1.993097 4.864984  -0.291875 2.134982 4.875493
-0.257704 1.993097 4.864984  -0.229888 2.166449 5.001308  -0.291875 2.134982 4.875493
0.000216 1.736122 4.183926  0.000216 1.740927 4.420427  -0.195110 1.751300 4.425595
-0.236888 1.798429 4.707505  -0.181743 1.775941 4.910399  -0.273953 1.953442 4.774324
-0.181743 1.775941 4.910399  -0.252312 1.952506 4.905539  -0.273953 1.953442 4.774324
-0.273953 1.953442 4.774324  -0.252312 1.952506 4.905539  -0.257704 1.993097 4.864984
-0.316069 2.109092 4.778430  -0.291875 2.134982 4.875493  -0.256689 2.275384 4.860721
-0.256689 2.275384 4.860721  -0.291875 2.134982 4.875493  -0.229888 2.166449 5.001308
-0.257704 1.993097 4.864984  -0.225014 2.048502 5.058178  -0.229888 2.166449 5.001308
-0.195110 1.751300 4.425595  -0.128067 1.787165 4.709557  -0.236888 1.798429 4.707505
-0.128067 1.787165 4.709557  -0.123627 1.731048 4.915586  -0.236888 1.798429 4.707505
-0.236888 1.798429 4.707505  -0.123627 1.731048 4.915586  -0.181743 1.775941 4.910399
0.000216 1.740927 4.420427  0.000216 1.776792 4.704389  -0.195110 1.751300 4.425595
-0.195110 1.751300 4.425595  0.000216 1.776792 4.704389  -0.128067 1.787165 4.709557
-0.128067 1.787165 4.709557  0.000216 1.776792 4.704389  -0.123627 1.731048 4.915586
0.000216 1.776792 4.704389  0.000216 1.709522 4.910419  -0.123627 1.731048 4.915586
0.000216 1.709522 4.910419  0.000216 1.721777 5.081985  -0.123627 1.731048 4.915586
-0.123627 1.731048 4.915586  0.000216 1.721777 5.081985  -0.079326 1.741462 5.087152
0.000216 1.721777 5.081985  -0.070312 1.817703 5.226985  -0.079326 1.741462 5.087152
-0.070312 1.817703 5.226985  -0.113829 1.827493 5.146673  -0.079326 1.741462 5.087152
-0.079326 1.741462 5.087152  -0.113829 1.827493 5.146673  -0.135117 1.779263 5.035765
-0.113829 1.827493 5.146673  -0.191424 1.952506 5.015939  -0.135117 1.779263 5.035765
-0.135117 1.779263 5.035765  -0.191424 1.952506 5.015939  -0.181743 1.775941 4.910399
-0.181743 1.775941 4.910399  -0.191424 1.952506 5.015939  -0.252312 1.952506 4.905539
-0.181743 1.775941 4.910399  -0.123627 1.731048 4.915586  -0.135117 1.779263 5.035765
-0.123627 1.731048 4.915586  -0.079326 1.741462 5.087152  -0.135117 1.779263 5.035765
